date,id,TMAX,PRCP
2017-01-13,UKE00105932,0,0
2017-08-04,UKE00105932,1,1
2017-09-19,UKE00105932,1,1
2017-02-21,UKE00105884,1,1
2017-06-01,UKE00105895,2,0
2017-06-12,UKE00105932,2,1
2017-07-24,UKE00105884,2,0
2017-06-08,UKE00105932,1,1
2017-08-03,UKE00105932,1,1
2017-08-14,UKE00105895,2,1
2017-09-28,UKE00105884,1,1
2017-11-14,UKE00105932,1,0
2017-04-03,UKE00105932,1,1
2017-04-24,UKE00105884,1,1
2017-05-02,UKE00105895,1,0
2017-07-24,UKE00105932,2,0
2017-04-28,UKE00105884,1,0
2017-01-22,UKE00105895,1,0
2017-05-27,UKE00105895,2,0
2017-06-13,UKE00105895,2,0
2017-09-21,UKE00105884,1,0
2017-05-29,UKE00105895,2,1
2017-12-30,UKE00105932,1,1
2017-01-08,UKE00105895,1,0
2017-12-01,UKE00105884,1,0
2017-09-12,UKE00105895,2,1
2017-01-23,UKE00105932,1,0
2017-01-12,UKE00105932,0,1
2017-04-21,UKE00105884,1,0
2017-05-25,UKE00105884,2,0
2017-06-17,UKE00105932,2,0
2017-08-02,UKE00105895,2,0
2017-07-03,UKE00105895,2,0
2017-04-02,UKE00105932,1,0
2017-09-12,UKE00105884,1,1
2017-01-24,UKE00105895,0,0
2017-06-15,UKE00105895,2,0
2017-07-20,UKE00105895,2,1
2017-06-30,UKE00105884,2,0
2017-08-31,UKE00105932,2,0
2017-01-07,UKE00105895,1,0
2017-11-06,UKE00105884,1,1
2017-03-23,UKE00105932,1,0
2017-08-08,UKE00105884,2,1
2017-05-03,UKE00105932,1,0
2017-01-03,UKE00105932,0,1
2017-12-02,UKE00105932,1,0
2017-03-18,UKE00105895,2,0
2017-03-09,UKE00105884,1,0
2017-04-16,UKE00105884,1,1
2017-10-29,UKE00105895,1,1
2017-11-01,UKE00105895,1,0
2017-06-26,UKE00105884,1,1
2017-01-20,UKE00105932,0,0
2017-12-04,UKE00105932,1,1
2017-08-19,UKE00105884,2,1
2017-05-22,UKE00105884,2,1
2017-01-09,UKE00105895,1,1
2017-01-25,UKE00105884,0,0
2017-04-22,UKE00105895,1,0
2017-07-19,UKE00105895,2,1
2017-09-26,UKE00105895,1,0
2017-02-07,UKE00105895,0,1
2017-11-03,UKE00105895,1,1
2017-06-17,UKE00105884,2,1
2017-07-30,UKE00105895,2,0
2017-02-26,UKE00105932,0,1
2017-04-06,UKE00105932,1,1
2017-09-27,UKE00105884,1,1
2017-12-18,UKE00105884,1,0
2017-05-05,UKE00105895,1,0
2017-05-25,UKE00105932,2,0
2017-07-17,UKE00105884,2,0
2017-02-10,UKE00105932,0,0
2017-02-12,UKE00105895,1,1
2017-03-30,UKE00105895,2,0
2017-12-10,UKE00105884,1,0
2017-08-05,UKE00105895,2,0
2017-03-09,UKE00105895,1,0
2017-11-15,UKE00105932,1,1
2017-11-26,UKE00105932,1,1
2017-02-08,UKE00105932,0,0
2017-09-09,UKE00105884,1,1
2017-05-17,UKE00105884,2,0
2017-09-03,UKE00105884,1,1
2017-01-05,UKE00105884,1,1
2017-04-29,UKE00105932,1,0
2017-10-30,UKE00105884,1,0
2017-03-11,UKE00105932,1,1
2017-10-26,UKE00105884,1,0
2017-11-04,UKE00105932,1,1
2017-05-08,UKE00105932,1,0
2017-12-16,UKE00105884,1,0
2017-12-23,UKE00105895,1,0
2017-05-22,UKE00105932,2,1
2017-08-05,UKE00105932,1,0
2017-04-08,UKE00105884,1,0
2017-07-06,UKE00105932,2,1
2017-05-26,UKE00105895,2,0
2017-10-20,UKE00105895,1,1
2017-07-18,UKE00105932,2,0
2017-08-17,UKE00105895,2,1
2017-01-02,UKE00105932,1,1
2017-10-30,UKE00105932,1,1
2017-04-14,UKE00105932,1,1
2017-11-04,UKE00105895,1,1
2017-11-01,UKE00105932,1,1
2017-09-03,UKE00105895,2,1
2017-10-06,UKE00105895,1,0
2017-10-29,UKE00105884,1,0
2017-07-01,UKE00105895,2,0
2017-08-27,UKE00105895,2,0
2017-10-07,UKE00105884,1,1
2017-04-02,UKE00105884,1,0
2017-10-13,UKE00105895,1,0
2017-05-18,UKE00105932,1,1
2017-07-16,UKE00105884,2,0
2017-01-21,UKE00105932,0,1
2017-02-26,UKE00105895,1,0
2017-12-11,UKE00105932,1,0
2017-07-12,UKE00105932,2,0
2017-07-22,UKE00105895,2,1
2017-08-08,UKE00105932,2,0
2017-03-31,UKE00105932,1,1
2017-08-06,UKE00105932,2,1
2017-12-12,UKE00105932,1,1
2017-03-27,UKE00105884,1,0
2017-12-08,UKE00105884,1,0
2017-06-16,UKE00105884,2,0
2017-02-19,UKE00105895,2,0
2017-11-05,UKE00105932,1,0
2017-03-18,UKE00105932,1,1
2017-06-15,UKE00105884,2,1
2017-03-09,UKE00105932,1,0
2017-08-21,UKE00105895,2,0
2017-01-20,UKE00105895,0,0
2017-10-26,UKE00105895,1,0
2017-03-05,UKE00105932,1,1
2017-07-20,UKE00105884,2,0
2017-08-15,UKE00105895,2,0
2017-05-19,UKE00105932,1,1
2017-10-02,UKE00105895,1,0
2017-02-23,UKE00105932,0,1
2017-07-16,UKE00105932,2,0
2017-07-29,UKE00105895,2,1
2017-02-03,UKE00105932,0,1
2017-12-08,UKE00105932,1,0
2017-03-05,UKE00105884,1,1
2017-01-17,UKE00105884,1,0
2017-12-16,UKE00105895,1,0
2017-03-13,UKE00105884,1,0
2017-04-30,UKE00105884,1,0
2017-08-07,UKE00105884,2,0
2017-04-19,UKE00105932,1,1
2017-02-04,UKE00105932,0,1
2017-04-18,UKE00105884,2,0
2017-01-09,UKE00105884,1,1
2017-01-25,UKE00105895,0,0
2017-04-10,UKE00105932,1,0
2017-04-11,UKE00105932,1,1
2017-10-03,UKE00105884,1,1
2017-12-25,UKE00105895,1,1
2017-04-27,UKE00105895,1,1
2017-08-14,UKE00105884,2,1
2017-12-28,UKE00105895,1,1
2017-10-05,UKE00105884,1,0
2017-03-13,UKE00105895,2,0
2017-11-08,UKE00105932,1,1
2017-03-27,UKE00105895,1,0
2017-07-09,UKE00105895,2,0
2017-09-21,UKE00105932,1,1
2017-02-06,UKE00105932,0,1
2017-12-09,UKE00105932,1,0
2017-07-09,UKE00105884,1,1
2017-05-29,UKE00105932,2,1
2017-02-24,UKE00105895,1,1
2017-10-01,UKE00105895,1,1
2017-07-21,UKE00105932,1,1
2017-11-18,UKE00105932,1,0
2017-04-23,UKE00105884,1,1
2017-06-19,UKE00105932,2,0
2017-11-09,UKE00105884,1,1
2017-05-13,UKE00105884,2,1
2017-01-12,UKE00105895,0,1
2017-10-15,UKE00105884,1,1
2017-11-06,UKE00105895,1,0
2017-07-09,UKE00105932,1,1
2017-06-24,UKE00105884,1,0
2017-02-17,UKE00105884,1,1
2017-11-25,UKE00105884,1,0
2017-04-07,UKE00105932,1,0
2017-07-01,UKE00105932,1,1
2017-08-16,UKE00105884,2,1
2017-09-06,UKE00105932,1,1
2017-11-29,UKE00105932,1,0
2017-08-23,UKE00105895,2,0
2017-11-27,UKE00105932,1,1
2017-01-13,UKE00105895,0,1
2017-10-17,UKE00105884,1,1
2017-08-10,UKE00105884,2,0
2017-07-26,UKE00105884,2,1
2017-10-01,UKE00105884,1,1
2017-12-24,UKE00105884,1,1
2017-04-25,UKE00105932,1,0
2017-08-31,UKE00105884,1,0
2017-09-02,UKE00105884,1,0
2017-03-28,UKE00105895,2,1
2017-02-22,UKE00105884,0,1
2017-12-22,UKE00105884,1,0
2017-06-04,UKE00105884,1,1
2017-09-24,UKE00105884,1,1
2017-02-15,UKE00105932,1,1
2017-05-27,UKE00105884,2,1
2017-10-31,UKE00105895,1,1
2017-11-11,UKE00105884,1,0
2017-03-03,UKE00105932,1,1
2017-10-25,UKE00105884,1,1
2017-03-17,UKE00105932,1,1
2017-11-23,UKE00105895,1,0
2017-08-13,UKE00105932,1,1
2017-12-15,UKE00105932,1,0
2017-12-02,UKE00105895,1,0
2017-11-16,UKE00105884,1,1
2017-09-05,UKE00105884,1,1
2017-02-06,UKE00105895,1,1
2017-10-20,UKE00105884,1,1
2017-05-10,UKE00105932,2,0
2017-05-31,UKE00105895,2,0
2017-04-23,UKE00105932,1,1
2017-08-20,UKE00105895,2,0
2017-04-26,UKE00105895,1,0
2017-12-23,UKE00105884,1,1
2017-12-25,UKE00105884,1,1
2017-05-01,UKE00105884,1,0
2017-06-20,UKE00105895,2,0
2017-09-29,UKE00105884,1,1
2017-07-08,UKE00105884,2,1
2017-09-05,UKE00105895,2,1
2017-03-02,UKE00105884,1,0
2017-11-14,UKE00105895,1,0
2017-12-06,UKE00105884,1,0
2017-07-27,UKE00105932,2,1
2017-01-14,UKE00105895,1,1
2017-04-19,UKE00105895,1,0
2017-06-07,UKE00105895,2,1
2017-03-25,UKE00105932,2,0
2017-03-29,UKE00105884,1,1
2017-12-28,UKE00105932,1,1
2017-04-25,UKE00105884,1,0
2017-04-29,UKE00105895,1,0
2017-09-24,UKE00105932,1,1
2017-04-20,UKE00105895,1,0
2017-10-12,UKE00105932,1,1
2017-04-30,UKE00105895,1,1
2017-09-13,UKE00105884,1,1
2017-05-21,UKE00105884,2,1
2017-06-23,UKE00105895,2,1
2017-10-18,UKE00105895,1,1
2017-03-25,UKE00105884,2,0
2017-08-27,UKE00105932,2,0
2017-03-03,UKE00105895,1,1
2017-02-18,UKE00105932,1,1
2017-11-07,UKE00105895,1,1
2017-05-21,UKE00105932,2,1
2017-06-14,UKE00105884,2,1
2017-07-25,UKE00105884,2,1
2017-03-08,UKE00105932,1,1
2017-03-24,UKE00105895,1,0
2017-07-06,UKE00105895,2,1
2017-09-28,UKE00105932,1,1
